timestamp,memory.used,memory.free,index,utilization.gpu,utilization.memory,gpu_name,memory.total
"2022/10/21 15:02:23.706""",419,15781,0,53,40,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:24.060""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:24.408""",419,15781,0,5,6,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:24.762""",419,15781,0,0,4,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:25.110""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:25.464""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:25.818""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:26.162""",687,15513,0,40,10,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:26.508""",823,15377,0,22,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:26.864""",991,15209,0,9,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:27.237""",1159,15041,0,8,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:27.585""",1309,14891,0,10,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:27.943""",1491,14709,0,7,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:28.297""",1677,14523,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:28.657""",1869,14331,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:29.021""",2039,14161,0,7,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:29.397""",419,15781,0,3,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:29.762""",419,15781,0,2,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:30.104""",419,15781,0,4,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:30.456""",419,15781,0,0,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:30.810""",419,15781,0,0,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:31.158""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:31.512""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:31.859""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:32.213""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:32.570""",419,15781,0,2,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:32.913""",619,15581,0,13,6,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:33.269""",853,15347,0,22,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:33.618""",853,15347,0,13,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:33.969""",853,15347,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:34.321""",853,15347,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:34.667""",853,15347,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:35.017""",853,15347,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:35.362""",853,15347,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:35.713""",927,15273,0,3,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:36.062""",1119,15081,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:36.418""",1305,14895,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:36.775""",1493,14707,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:37.140""",1673,14527,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:37.493""",1879,14321,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:37.855""",2091,14109,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:38.203""",7061,9139,0,9,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:38.567""",7061,9139,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:38.924""",419,15781,0,1,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:39.277""",419,15781,0,4,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:39.624""",419,15781,0,1,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:39.977""",419,15781,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:40.330""",419,15781,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:40.695""",419,15781,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:41.046""",419,15781,0,0,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:41.397""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:41.745""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:42.099""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:42.449""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:42.800""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:43.148""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
